PPG A0,PPG A1,event_code
334,511,
335,516,
335,520,
334,522,
332,525,
330,527,
329,528,
329,529,
329,529,
327,530,
324,531,
323,531,
324,529,
323,528,
321,526,
319,525,
319,523,
320,520,
319,517,
317,515,
314,513,
313,511,
314,507,
313,503,
312,499,
310,498,
309,497,
310,495,
311,492,
311,489,
307,489,
307,489,
308,489,
309,487,
308,487,
306,487,
305,490,
305,490,
307,488,
306,487,
305,487,
304,486,
306,486,
307,484,
306,481,
304,481,
304,482,
304,482,
306,481,
305,482,
303,483,
303,485,
305,485,
306,484,
306,482,
306,484,
306,488,
307,492,
309,494,
309,494,
308,493,
307,494,
308,495,
309,495,
310,494,
308,492,
306,493,
306,492,
306,491,
307,489,
306,488,
305,487,
304,486,
304,483,
304,481,
302,480,
300,480,
300,480,
301,479,
301,478,
300,476,
298,477,
298,478,
300,478,
301,476,
299,476,
297,476,
296,477,
297,478,
298,477,
297,476,
295,476,
295,476,
296,476,
298,476,
296,475,
295,478,
295,481,
297,484,
298,485,
298,486,
297,488,
296,491,
297,492,
299,493,
299,493,
297,493,
297,494,
298,497,
299,499,
300,502,
297,505,
295,507,
297,509,
298,512,
299,515,
298,518,
297,519,
299,519,
300,519,
300,517,
299,515,
299,515,
300,514,
301,515,
302,517,
302,520,
301,523,
304,527,
307,530,
311,533,
312,537,
314,543,
317,547,
322,552,
327,553,
330,556,
333,561,
338,568,
343,575,
349,579,
353,583,
356,588,
360,592,
367,590,
372,586,
374,584,
376,583,
378,584,
382,586,
385,586,
388,587,
387,590,
388,593,
390,594,
393,594,
393,594,
392,594,
392,591,
392,583,
392,575,
392,566,
392,558,
391,551,
391,546,
391,540,
391,535,
389,533,
388,534,
388,538,
387,543,
387,547,
385,554,
384,559,
384,559,
383,558,
383,557,
381,554,
379,553,
378,551,
378,549,
377,551,
376,560,
374,564,
373,561,
373,554,
373,545,
371,537,
370,530,
369,524,
368,518,
368,511,
365,506,
364,503,
362,500,
361,497,
360,495,
357,493,
354,493,
351,495,
350,496,
350,496,
348,496,
346,497,
344,499,
343,502,
342,502,
340,504,
339,507,
338,510,
338,513,
337,515,
337,516,
335,518,
335,523,
335,529,
335,534,
335,539,
334,544,
334,548,
335,553,
336,556,
