PPG A0,PPG A1,event_code
317,545,
318,541,
318,538,
317,537,
314,533,
312,529,
311,524,
314,519,
314,518,
313,516,
307,511,
309,508,
310,502,
310,501,
311,500,
307,497,
306,493,
307,490,
307,489,
305,488,
303,487,
301,483,
303,480,
303,480,
302,480,
302,479,
299,476,
301,473,
301,473,
299,475,
298,474,
297,472,
296,470,
296,470,
296,471,
291,469,
290,466,
292,464,
293,464,
291,465,
289,463,
287,463,
287,459,
288,460,
289,462,
287,461,
284,462,
284,459,
285,459,
286,461,
283,461,
281,460,
282,458,
282,456,
283,458,
282,458,
281,458,
281,455,
282,454,
283,456,
282,455,
279,454,
279,453,
279,451,
282,455,
280,455,
279,455,
277,453,
280,454,
280,455,
280,458,
279,460,
278,461,
280,463,
280,469,
281,477,
280,486,
280,494,
282,503,
285,518,
286,533,
288,549,
290,564,
295,582,
303,603,
306,624,
309,645,
315,663,
324,683,
331,704,
338,724,
342,742,
351,760,
358,774,
369,790,
376,802,
381,814,
387,822,
391,828,
402,835,
407,841,
414,845,
416,845,
423,843,
427,843,
431,841,
436,839,
435,834,
438,828,
441,822,
441,817,
440,814,
439,806,
437,799,
437,791,
437,788,
434,782,
432,776,
429,768,
429,760,
428,756,
424,751,
420,745,
415,738,
415,732,
413,731,
408,728,
404,724,
401,717,
399,713,
399,711,
394,707,
391,702,
385,693,
384,686,
382,680,
378,674,
370,667,
368,657,
365,647,
365,641,
360,634,
354,625,
352,618,
348,609,
348,603,
345,598,
340,593,
335,587,
332,581,
333,577,
330,576,
329,573,
326,570,
322,566,
325,566,
321,567,
321,567,
318,566,
318,563,
319,561,
318,563,
315,565,
315,566,
316,564,
316,563,
319,564,
320,567,
316,566,
317,564,
319,561,
319,564,
317,564,
317,563,
317,560,
319,557,
320,557,
320,557,
320,555,
316,550,
318,546,
319,543,
320,542,
319,537,
314,532,
316,527,
314,524,
314,521,
310,518,
308,512,
307,506,
310,503,
306,500,
306,496,
306,492,
306,487,
308,484,
306,482,
305,477,
303,474,
303,471,
304,467,
305,467,
302,466,
299,463,
299,458,
301,457,
300,457,
298,458,
295,456,
294,451,
296,450,
295,449,
293,448,
290,446,
290,442,
292,439,
289,440,
289,438,
287,437,
287,435,
288,431,
288,433,
287,433,
286,432,
285,430,
289,429,
288,429,
286,431,
286,430,
284,428,
285,429,
287,430,
285,432,
282,433,
280,430,
283,428,
285,430,
285,431,
283,431,
283,428,
284,426,
287,426,
287,427,
283,426,
285,425,
285,424,
288,424,
286,425,
284,424,
285,425,
285,423,
287,423,
286,427,
285,430,
284,433,
285,436,
287,443,
287,454,
288,466,
289,479,
291,492,
294,509,
294,527,
298,551,
301,573,
304,595,
312,620,
316,646,
323,671,
328,697,
334,722,
341,744,
349,769,
357,793,
361,813,
370,831,
379,846,
385,863,
395,879,
402,892,
407,899,
418,905,
424,913,
430,917,
433,920,
435,920,
443,918,
448,918,
451,917,
448,915,
