PPG A0,PPG A1,event_code
423,693,
426,701,
427,707,
428,711,
428,718,
429,723,
429,726,
430,727,
429,727,
426,729,
424,730,
423,729,
421,726,
418,724,
414,722,
411,722,
410,718,
408,713,
405,707,
401,703,
399,702,
398,697,
396,691,
394,685,
391,680,
390,678,
389,673,
386,667,
384,661,
381,656,
378,653,
377,650,
375,643,
372,635,
370,630,
367,626,
365,622,
364,615,
362,607,
358,602,
356,598,
354,594,
352,588,
351,581,
347,576,
345,572,
344,569,
343,564,
341,559,
338,555,
336,553,
334,552,
333,550,
333,546,
332,544,
331,545,
333,546,
334,544,
334,543,
334,543,
334,546,
335,548,
336,549,
338,549,
338,549,
338,551,
339,554,
341,554,
341,553,
342,553,
340,554,
340,556,
340,556,
341,554,
339,552,
338,552,
338,554,
338,553,
339,551,
339,547,
338,547,
337,546,
338,545,
338,541,
337,537,
337,534,
336,533,
337,531,
337,527,
337,523,
335,521,
336,520,
336,518,
337,513,
336,510,
335,507,
333,507,
332,506,
332,503,
331,500,
330,498,
329,498,
329,497,
330,493,
329,489,
326,487,
326,488,
324,485,
325,483,
325,479,
323,476,
322,475,
322,474,
323,471,
323,467,
321,464,
321,464,
321,463,
320,461,
320,457,
318,454,
318,453,
317,452,
318,450,
317,447,
315,444,
314,443,
313,445,
314,443,
313,439,
311,436,
308,436,
308,435,
307,434,
307,429,
306,427,
304,427,
304,427,
304,426,
305,422,
304,419,
303,418,
302,419,
302,418,
303,415,
302,413,
302,413,
302,415,
303,414,
303,412,
303,409,
301,408,
301,411,
302,411,
302,410,
302,409,
301,410,
302,413,
304,415,
305,416,
307,417,
308,419,
310,425,
313,431,
317,436,
319,441,
321,449,
324,460,
329,472,
335,482,
340,493,
345,505,
350,522,
357,537,
363,551,
369,566,
374,580,
379,598,
385,614,
392,629,
397,641,
401,654,
405,669,
410,682,
415,694,
418,702,
420,711,
422,721,
424,731,
427,738,
428,742,
428,745,
428,751,
428,756,
430,759,
430,759,
428,758,
426,759,
425,760,
424,758,
422,754,
421,751,
418,749,
417,748,
416,745,
414,739,
412,735,
410,731,
408,729,
407,725,
406,719,
403,713,
400,709,
396,706,
395,702,
393,695,
390,689,
387,684,
384,680,
383,675,
381,668,
379,659,
375,653,
372,648,
370,643,
368,636,
365,627,
362,620,
360,614,
359,609,
357,602,
355,594,
352,588,
350,584,
349,579,
349,574,
347,567,
345,563,
342,560,
342,559,
341,556,
340,551,
338,547,
338,547,
338,547,
339,545,
340,541,
339,539,
340,540,
340,542,
341,542,
342,540,
341,539,
341,539,
341,541,
341,542,
341,541,
341,540,
340,540,
340,542,
340,542,
340,540,
340,537,
340,536,
339,536,
339,535,
340,533,
340,530,
339,530,
340,530,
341,530,
341,527,
341,525,
340,524,
339,524,
341,523,
341,520,
338,518,
336,516,
335,517,
334,516,
334,512,
333,509,
331,507,
329,507,
329,505,
330,502,
328,497,
327,494,
326,493,
326,491,
326,487,
325,482,
323,478,
323,477,
323,476,
324,472,
323,467,
323,463,
322,460,
323,458,
324,453,
324,448,
322,444,
321,444,
322,443,
322,441,
322,438,
320,434,
319,434,
320,434,
320,432,
320,428,
320,425,
318,424,
319,425,
320,424,
320,420,
319,418,
319,418,
319,419,
321,419,
323,417,
323,415,
323,415,
324,416,
325,416,
327,412,
327,409,
326,409,
327,410,
329,411,
330,409,
330,406,
329,406,
328,406,
328,406,
328,404,
327,402,
326,402,
325,402,
325,402,
325,401,
323,399,
322,397,
321,397,
322,398,
323,398,
323,398,
323,399,
323,403,
325,408,
327,412,
330,415,
330,419,
333,426,
336,436,
342,446,
346,454,
350,464,
355,478,
361,494,
367,510,
373,526,
378,542,
383,559,
389,578,
397,598,
402,613,
407,628,
411,646,
417,663,
421,680,
426,692,
429,705,
432,718,
436,731,
439,743,
440,751,
442,758,
443,765,
446,773,
447,780,
449,784,
449,784,
449,787,
450,791,
451,793,
451,791,
450,789,
449,788,
448,789,
447,788,
446,785,
444,781,
442,777,
441,775,
440,773,
439,770,
437,764,
434,759,
433,756,
432,753,
430,749,
427,741,
424,735,
421,731,
418,728,
416,722,
413,715,
410,707,
407,702,
405,697,
404,690,
400,681,
396,673,
392,665,
390,658,
386,651,
382,641,
377,631,
371,625,
367,619,
363,613,
357,605,
352,597,
347,593,
342,588,
339,585,
334,579,
331,573,
328,570,
326,567,
324,565,
323,559,
322,556,
322,554,
321,553,
322,552,
322,549,
323,546,
323,544,
325,544,
326,543,
328,542,
329,539,
330,537,
332,538,
334,538,
336,536,
337,535,
337,534,
338,535,
339,534,
340,533,
340,530,
340,530,
340,532,
341,532,
340,530,
340,529,
340,527,
340,528,
340,527,
339,525,
338,521,
337,519,
337,518,
336,517,
336,514,
335,509,
334,507,
333,506,
333,503,
334,501,
333,496,
332,493,
331,492,
330,489,
330,486,
329,481,
328,477,
326,475,
326,473,
325,471,
323,465,
321,462,
320,462,
319,461,
318,459,
317,456,
316,453,
314,452,
314,451,
313,449,
313,445,
311,441,
310,440,
309,439,
308,436,
307,432,
305,428,
303,427,
302,425,
302,423,
302,420,
302,418,
301,417,
302,417,
301,416,
302,413,
301,409,
300,408,
301,407,
302,406,
302,403,
302,400,
302,399,
301,399,
301,398,
302,395,
302,393,
302,392,
302,393,
302,394,
302,393,
301,391,
300,391,
300,392,
300,392,
301,392,
300,390,
300,390,
300,391,
300,391,
300,391,
300,387,
300,385,
300,386,
300,388,
301,389,
300,386,
299,382,
299,382,
298,383,
298,384,
297,381,
297,377,
296,377,
296,379,
296,380,
295,376,
295,371,
294,371,
293,372,
294,373,
293,370,
293,366,
292,366,
292,369,
293,373,
293,374,
294,374,
295,379,
297,387,
301,398,
305,405,
309,411,
313,423,
319,437,
326,452,
333,466,
339,478,
345,492,
352,510,
359,531,
367,549,
374,564,
381,581,
387,600,
395,620,
400,637,
406,650,
411,664,
415,680,
420,695,
424,709,
427,717,
429,726,
432,737,
433,748,
436,757,
437,760,
438,763,
438,768,
439,773,
439,776,
439,774,
438,773,
437,775,
436,776,
436,777,
434,772,
433,768,
431,768,
430,767,
429,766,
426,761,
424,755,
422,752,
419,750,
418,750,
415,743,
414,737,
410,734,
408,730,
406,728,
403,722,
399,714,
397,709,
394,704,
392,700,
390,693,
386,681,
383,674,
380,667,
378,661,
374,651,
371,639,
367,631,
365,623,
363,619,
360,611,
357,600,
354,593,
352,588,
350,584,
349,578,
346,570,
344,565,
341,561,
341,560,
339,557,
339,550,
338,546,
338,543,
338,542,
338,540,
338,534,
337,532,
336,532,
337,531,
338,530,
337,526,
337,526,
338,526,
339,528,
340,530,
341,527,
340,526,
340,528,
341,530,
343,531,
343,529,
342,526,
342,527,
342,527,
342,528,
342,524,
340,520,
339,518,
339,518,
339,516,
339,512,
338,508,
336,507,
337,507,
335,507,
335,504,
334,499,
332,496,
332,495,
333,493,
332,489,
331,484,
328,480,
328,479,
328,477,
327,473,
325,467,
323,464,
323,462,
321,462,
321,457,
319,452,
317,448,
316,448,
314,446,
314,444,
312,438,
311,435,
310,434,
310,433,
310,431,
310,427,
308,423,
307,423,
307,423,
306,420,
305,415,
303,411,
302,411,
301,411,
301,409,
300,404,
297,402,
296,402,
296,403,
295,401,
295,397,
294,393,
292,393,
292,394,
291,392,
290,389,
290,386,
290,386,
290,388,
289,387,
288,384,
287,380,
288,381,
287,382,
288,382,
289,379,
288,376,
288,377,
289,376,
289,377,
290,376,
290,373,
289,373,
290,373,
290,373,
290,373,
290,370,
289,369,
288,371,
289,371,
289,368,
288,366,
287,364,
287,365,
287,365,
288,363,
286,361,
286,360,
286,361,
287,362,
288,360,
288,356,
288,357,
287,360,
287,360,
287,357,
285,354,
284,354,
283,356,
282,356,
283,353,
282,351,
282,350,
282,352,
283,351,
283,349,
283,347,
282,346,
282,347,
282,349,
282,346,
282,344,
281,344,
280,346,
281,348,
283,345,
282,344,
281,343,
280,346,
281,347,
282,346,
283,343,
282,341,
281,343,
282,344,
282,343,
283,341,
282,340,
282,342,
282,344,
283,343,
283,341,
282,341,
281,343,
282,346,
284,346,
284,343,
283,342,
283,345,
284,347,
285,347,
286,344,
284,342,
283,343,
284,345,
285,344,
285,342,
286,339,
286,340,
286,344,
287,345,
287,342,
287,340,
285,341,
285,343,
286,343,
286,341,
285,339,
284,340,
284,344,
286,345,
286,344,
287,344,
288,347,
289,352,
292,358,
295,362,
298,366,
300,374,
303,385,
310,397,
314,406,
319,417,
324,430,
330,446,
337,462,
345,476,
353,489,
359,505,
366,525,
373,543,
379,560,
385,574,
390,590,
395,608,
401,625,
406,638,
410,648,
413,658,
416,670,
420,681,
423,688,
425,691,
425,695,
426,702,
427,707,
429,710,
429,710,
428,710,
425,711,
424,713,
423,711,
420,706,
417,701,
413,699,
411,697,
409,693,
407,686,
404,681,
401,678,
400,675,
398,671,
397,665,
393,659,
390,656,
388,654,
386,650,
384,644,
380,638,
376,634,
374,631,
372,625,
370,619,
367,611,
365,605,
361,601,
359,595,
357,588,
353,579,
350,574,
347,569,
345,564,
343,557,
341,549,
338,545,
336,541,
335,538,
335,530,
333,525,
331,519,
329,518,
329,516,
329,512,
327,507,
325,506,
324,506,
324,508,
324,507,
323,505,
322,504,
321,505,
321,506,
322,505,
324,504,
323,502,
322,504,
323,505,
324,504,
325,502,
323,500,
323,501,
325,503,
326,503,
327,500,
326,499,
327,500,
327,502,
329,502,
329,499,
329,496,
328,497,
328,499,
328,499,
329,495,
328,492,
327,492,
326,493,
327,492,
327,489,
325,486,
324,484,
323,485,
323,483,
323,480,
322,477,
321,475,
320,477,
321,476,
320,472,
320,469,
318,467,
318,466,
318,465,
318,463,
316,459,
314,458,
313,459,
313,459,
312,455,
311,450,
309,448,
308,448,
307,447,
307,443,
305,439,
304,436,
302,436,
302,436,
302,433,
301,428,
300,426,
299,426,
299,425,
299,422,
299,418,
298,416,
297,416,
297,416,
297,414,
297,409,
296,406,
295,406,
295,406,
296,404,
296,400,
295,397,
294,398,
295,399,
295,398,
295,395,
295,393,
294,394,
294,396,
295,398,
295,396,
294,395,
294,396,
295,399,
297,400,
299,398,
299,395,
299,396,
300,399,
302,399,
303,397,
302,393,
301,394,
300,396,
301,397,
301,394,
301,391,
299,390,
299,392,
300,392,
299,389,
298,385,
296,384,
295,387,
294,388,
293,386,
293,382,
290,381,
288,384,
288,386,
289,385,
288,380,
287,379,
287,381,
287,383,
287,381,
288,377,
287,376,
287,379,
289,382,
292,383,
294,382,
295,383,
296,390,
301,398,
305,404,
310,407,
313,413,
317,425,
322,438,
328,448,
333,456,
338,465,
342,480,
347,496,
354,509,
361,519,
365,529,
369,543,
374,559,
380,571,
386,579,
389,588,
392,600,
396,612,
400,621,
403,627,
404,632,
405,639,
406,646,
408,651,
409,653,
408,654,
408,656,
408,660,
408,662,
407,661,
405,658,
403,657,
400,658,
399,657,
398,654,
396,647,
392,644,
391,644,
390,642,
388,637,
385,630,
383,625,
380,623,
378,621,
377,615,
375,608,
372,604,
369,602,
368,600,
366,595,
363,589,
359,584,
356,582,
355,580,
353,574,
350,567,
346,561,
343,558,
340,555,
338,549,
336,540,
332,533,
329,529,
327,525,
325,518,
323,511,
320,505,
317,502,
316,501,
315,496,
315,490,
314,485,
313,484,
312,485,
312,484,
313,480,
313,477,
313,478,
313,480,
315,480,
317,478,
317,476,
318,477,
319,480,
321,480,
322,478,
321,476,
321,477,
322,479,
324,481,
325,479,
324,478,
324,478,
324,481,
324,482,
325,480,
324,478,
323,477,
323,479,
323,480,
324,478,
323,476,
322,475,
321,477,
322,477,
321,475,
320,470,
319,469,
318,471,
319,471,
320,468,
319,465,
318,463,
316,464,
316,464,
316,462,
316,457,
314,455,
313,456,
312,457,
312,454,
312,450,
311,448,
310,449,
310,450,
309,448,
309,444,
307,442,
305,442,
306,443,
306,442,
306,438,
305,436,
303,436,
304,437,
305,437,
304,433,
303,431,
303,432,
302,433,
302,432,
302,429,
301,427,
300,427,
301,429,
302,429,
302,426,
301,423,
300,423,
300,426,
300,425,
301,423,
300,419,
299,419,
298,420,
299,421,
299,418,
298,415,
297,414,
296,416,
297,415,
297,412,
297,408,
296,407,
295,409,
296,409,
296,407,
297,403,
295,403,
295,405,
296,406,
297,404,
297,401,
296,399,
296,401,
297,402,
298,400,
298,397,
298,395,
298,395,
298,396,
298,394,
299,389,
299,388,
298,389,
298,391,
299,389,
299,386,
