PPG A0,PPG A1,event_code
326,303,
325,309,
324,324,
320,339,
323,356,
323,377,
322,405,
323,437,
323,474,
323,517,
322,561,
324,611,
326,667,
326,723,
328,783,
328,840,
331,899,
333,958,
335,992,
336,993,
337,993,
340,993,
343,993,
345,993,
344,992,
348,993,
352,992,
352,992,
353,992,
354,992,
356,992,
357,993,
357,992,
359,992,
358,992,
360,991,
362,992,
362,992,
360,992,
360,992,
360,992,
356,992,
359,992,
355,993,
354,992,
352,993,
352,992,
349,992,
348,992,
346,992,
341,991,
343,992,
340,992,
337,992,
335,992,
334,986,
335,913,
335,851,
334,790,
334,727,
332,667,
329,604,
333,547,
332,492,
329,440,
330,391,
331,345,
328,304,
328,269,
327,240,
327,211,
327,188,
328,170,
327,154,
327,147,
326,141,
327,136,
329,138,
329,144,
329,152,
328,165,
331,177,
330,192,
332,211,
330,232,
328,256,
329,277,
328,298,
329,324,
330,349,
329,372,
330,394,
330,415,
330,436,
329,455,
330,473,
329,490,
330,503,
331,516,
333,528,
330,537,
331,546,
335,549,
335,553,
334,556,
335,556,
334,553,
335,549,
332,542,
335,536,
332,527,
335,517,
335,506,
334,494,
334,484,
332,472,
333,459,
333,445,
332,431,
332,417,
333,406,
331,391,
330,375,
333,364,
329,351,
330,340,
328,328,
324,316,
329,305,
327,296,
326,287,
327,278,
328,270,
329,261,
330,256,
329,252,
327,247,
329,243,
331,238,
333,238,
331,237,
332,235,
333,233,
333,233,
335,232,
334,235,
332,237,
334,239,
330,240,
332,243,
331,247,
332,251,
329,254,
331,257,
331,260,
329,265,
328,269,
329,270,
325,271,
327,274,
329,277,
327,283,
328,285,
327,287,
328,289,
332,294,
330,298,
331,299,
334,303,
333,304,
332,308,
333,316,
330,322,
331,331,
331,343,
333,359,
332,380,
331,403,
330,431,
332,463,
330,504,
330,547,
329,597,
331,646,
329,701,
331,759,
329,819,
331,878,
331,937,
332,991,
335,992,
330,992,
333,992,
337,992,
338,993,
339,992,
338,992,
340,992,
343,992,
342,992,
344,992,
345,992,
348,992,
344,992,
349,992,
351,992,
352,992,
352,992,
354,992,
353,992,
353,992,
353,992,
353,992,
351,992,
352,993,
353,992,
350,993,
349,992,
346,992,
347,992,
347,992,
348,992,
345,992,
343,992,
344,992,
343,992,
342,933,
342,872,
338,809,
338,743,
335,680,
334,621,
336,562,
333,505,
332,450,
332,397,
331,352,
330,309,
328,271,
326,236,
329,205,
325,180,
325,159,
325,143,
325,130,
326,121,
324,119,
325,121,
321,125,
321,134,
322,147,
324,162,
322,184,
323,204,
324,225,
326,249,
323,275,
327,302,
323,329,
325,356,
325,381,
325,407,
327,432,
325,459,
327,482,
326,502,
327,522,
327,541,
329,559,
330,573,
330,583,
331,591,
331,600,
331,608,
331,608,
333,608,
331,604,
333,603,
333,598,
331,592,
333,579,
333,571,
335,560,
334,548,
332,534,
333,519,
336,503,
335,486,
336,472,
336,456,
335,439,
335,423,
332,408,
334,396,
335,381,
333,367,
333,354,
332,341,
333,331,
331,320,
328,310,
331,298,
330,289,
332,283,
329,273,
330,266,
331,260,
332,254,
332,252,
331,248,
331,245,
332,241,
333,239,
334,240,
332,238,
333,237,
332,237,
334,239,
331,241,
329,243,
331,243,
330,245,
328,247,
324,251,
326,254,
326,256,
324,258,
324,262,
325,262,
323,267,
320,269,
321,272,
322,274,
324,280,
324,283,
324,288,
322,291,
325,295,
325,302,
325,310,
326,321,
326,332,
327,346,
326,367,
328,392,
327,419,
327,448,
328,484,
326,526,
325,570,
328,618,
330,668,
329,723,
332,780,
333,836,
336,894,
335,949,
339,992,
338,993,
342,992,
343,992,
346,992,
349,992,
350,992,
347,993,
350,991,
350,992,
352,992,
353,992,
351,992,
353,992,
354,993,
351,992,
353,992,
351,992,
350,992,
348,992,
349,992,
351,992,
348,992,
348,993,
346,993,
344,993,
344,993,
345,993,
343,993,
341,992,
342,992,
340,992,
339,992,
339,992,
336,952,
336,890,
337,832,
333,774,
329,716,
332,657,
330,599,
330,543,
327,492,
328,442,
327,395,
326,351,
326,310,
326,276,
328,247,
326,219,
329,196,
329,176,
326,165,
330,155,
328,152,
329,147,
332,148,
332,157,
332,168,
329,178,
329,193,
329,207,
330,226,
328,248,
328,267,
327,291,
330,312,
330,335,
327,358,
325,381,
323,402,
329,424,
327,444,
327,462,
327,479,
326,494,
326,509,
327,520,
328,532,
326,538,
326,546,
325,550,
326,551,
329,552,
328,553,
324,548,
326,545,
329,537,
328,531,
329,523,
327,514,
331,502,
328,495,
330,486,
327,475,
331,463,
334,450,
334,438,
331,430,
331,418,
328,407,
331,394,
334,383,
332,372,
334,363,
332,356,
334,346,
336,336,
334,330,
335,325,
335,318,
335,312,
336,308,
336,305,
335,301,
335,297,
330,293,
334,291,
332,289,
330,290,
330,289,
330,286,
330,286,
331,288,
326,290,
329,291,
329,292,
330,292,
330,294,
331,298,
331,298,
331,301,
331,301,
332,302,
332,302,
332,305,
335,307,
334,306,
332,305,
332,307,
332,308,
332,308,
333,308,
335,305,
332,308,
334,309,
333,312,
334,314,
333,316,
333,322,
331,330,
333,342,
331,356,
330,375,
331,400,
330,429,
331,464,
331,501,
332,546,
333,596,
330,650,
334,708,
333,768,
335,829,
334,892,
338,957,
337,992,
338,993,
342,992,
344,992,
345,992,
346,993,
349,992,
350,992,
354,992,
356,992,
354,992,
357,992,
359,992,
361,993,
359,992,
357,992,
358,993,
359,992,
361,992,
360,992,
359,992,
360,992,
358,992,
359,992,
353,992,
355,992,
351,992,
351,993,
350,992,
348,992,
343,992,
344,993,
344,993,
342,992,
339,993,
334,992,
335,992,
334,992,
334,992,
333,992,
334,992,
334,918,
332,850,
336,781,
330,716,
332,649,
332,584,
324,524,
329,465,
328,412,
328,365,
329,322,
325,283,
329,248,
329,219,
327,196,
324,178,
325,163,
325,154,
325,148,
324,145,
321,149,
323,156,
324,163,
327,177,
325,194,
324,213,
327,231,
329,251,
328,272,
329,296,
327,318,
328,341,
330,363,
331,386,
332,409,
333,429,
330,448,
332,464,
331,482,
330,496,
331,510,
331,520,
332,529,
329,535,
331,542,
328,545,
329,546,
330,547,
333,542,
329,539,
334,534,
329,526,
333,516,
332,506,
334,497,
329,484,
331,472,
334,462,
333,449,
334,437,
334,426,
335,414,
330,401,
333,389,
334,377,
333,366,
333,355,
332,344,
335,334,
333,326,
336,318,
335,310,
337,305,
337,296,
337,293,
337,289,
334,284,
335,281,
336,278,
332,278,
335,280,
332,280,
333,280,
332,281,
330,282,
331,287,
328,289,
328,293,
327,296,
326,298,
325,303,
326,308,
324,312,
328,315,
328,317,
329,324,
328,326,
328,330,
331,334,
329,336,
331,342,
335,348,
334,353,
336,357,
338,363,
336,372,
337,382,
336,394,
336,409,
336,427,
333,448,
333,478,
333,510,
332,547,
331,590,
330,639,
329,695,
328,753,
328,814,
331,879,
332,947,
334,992,
335,992,
338,992,
339,992,
345,992,
345,992,
346,992,
351,992,
357,992,
359,993,
364,992,
366,992,
366,993,
370,993,
373,992,
372,992,
375,992,
375,992,
376,993,
375,993,
379,992,
378,992,
376,992,
378,992,
381,992,
378,992,
379,992,
376,992,
377,992,
375,993,
374,992,
371,993,
367,992,
364,992,
361,992,
360,992,
358,992,
351,993,
348,993,
352,992,
349,992,
342,992,
342,992,
337,992,
336,993,
333,992,
330,993,
328,992,
326,992,
326,992,
323,992,
322,992,
320,992,
319,993,
318,992,
319,993,
316,992,
317,992,
318,992,
319,934,
321,882,
317,834,
317,787,
318,746,
322,705,
324,673,
323,643,
322,615,
324,593,
324,570,
324,552,
322,542,
321,531,
323,522,
320,515,
323,510,
324,509,
325,508,
324,508,
324,508,
330,508,
329,510,
327,512,
329,511,
332,511,
333,509,
335,510,
335,508,
334,506,
335,500,
335,493,
335,490,
333,485,
334,478,
339,467,
339,460,
339,449,
339,441,
339,429,
337,415,
339,401,
339,389,
337,376,
337,363,
336,347,
337,329,
334,315,
334,300,
331,283,
330,265,
331,246,
330,229,
329,212,
328,195,
327,179,
329,162,
329,147,
327,131,
326,117,
329,104,
330,91,
330,80,
329,67,
331,60,
330,52,
329,44,
329,37,
333,32,
329,29,
330,27,
328,23,
331,21,
331,20,
328,21,
328,23,
326,20,
329,24,
329,28,
327,33,
328,37,
326,41,
327,45,
326,54,
